"jahr","kw","alterskategegorie","anzahl_falleingaenge"
"2021","32","50-59","156"
"2021","32","60-69","65"
"2021","32","70-79","25"
"2021","32","80-89","14"
"2021","32","90-99","6"
"2021","31","0-9","16"
"2021","31","10-19","142"
"2021","31","20-29","283"
"2021","31","30-39","122"
"2021","31","40-49","97"
"2021","31","50-59","80"
"2021","31","60-69","26"
"2021","31","70-79","13"
"2021","31","80-89","6"
"2021","31","90-99","2"
"2021","30","0-9","5"
"2021","30","10-19","86"
"2021","30","20-29","148"
"2021","30","30-39","48"
"2021","30","40-49","46"
"2021","30","50-59","50"
"2021","30","60-69","21"
"2021","30","70-79","7"
"2021","30","80-89","4"
"2021","30","90-99","2"
"2021","29","0-9","8"
"2021","29","10-19","59"
"2021","29","20-29","111"
"2021","29","30-39","50"
"2021","29","40-49","35"
"2021","29","50-59","32"
"2021","29","60-69","10"
"2021","29","70-79","3"
"2021","29","80-89","3"
"2021","29","90-99","3"
"2021","28","0-9","6"
"2021","28","10-19","34"
"2021","28","20-29","117"
"2021","28","30-39","42"
"2021","28","40-49","21"
"2021","28","50-59","22"
"2021","28","60-69","10"
"2021","28","70-79","4"
"2021","28","80-89","2"
"2021","28","90-99","5"
"2021","27","0-9","2"
"2021","27","10-19","25"
"2021","27","20-29","55"
"2021","27","30-39","21"
"2021","27","40-49","16"
"2021","27","50-59","16"
"2021","27","60-69","3"
"2021","27","70-79","1"
"2021","26","0-9","1"
"2021","26","10-19","15"
"2021","26","20-29","15"
"2021","26","30-39","12"
"2021","26","40-49","13"
"2021","26","50-59","3"
"2021","26","60-69","5"
"2021","26","70-79","1"
"2021","25","0-9","2"
"2021","25","10-19","16"
"2021","25","20-29","13"
"2021","25","30-39","18"
"2021","25","40-49","8"
"2021","25","50-59","16"
"2021","25","60-69","4"
"2021","24","0-9","6"
"2021","24","10-19","8"
"2021","24","20-29","16"
"2021","24","30-39","23"
"2021","24","40-49","10"
"2021","24","50-59","10"
"2021","24","60-69","4"
"2021","24","70-79","3"
"2021","23","0-9","6"
"2021","23","10-19","43"
"2021","23","20-29","39"
"2021","23","30-39","47"
"2021","23","40-49","40"
"2021","23","50-59","29"
"2021","23","60-69","17"
"2021","23","70-79","5"
"2021","23","80-89","3"
"2021","22","0-9","18"
"2021","22","10-19","51"
"2021","22","20-29","47"
"2021","22","30-39","51"
"2021","22","40-49","46"
"2021","22","50-59","42"
"2021","22","60-69","23"
"2021","22","70-79","11"
"2021","22","80-89","5"
"2021","22","90-99","2"
"2021","21","0-9","30"
"2021","21","10-19","91"
"2021","21","20-29","115"
"2021","21","30-39","84"
"2021","21","40-49","90"
"2021","21","50-59","86"
"2021","21","60-69","28"
"2021","21","70-79","12"
"2021","21","80-89","10"
"2021","21","90-99","2"
"2021","20","0-9","64"
"2021","20","10-19","190"
"2021","20","20-29","155"
"2021","20","30-39","122"
"2021","20","40-49","105"
"2021","20","50-59","111"
"2021","20","60-69","51"
"2021","20","70-79","20"
"2021","20","80-89","13"
"2021","20","90-99","2"
"2021","19","0-9","52"
"2021","19","10-19","138"
"2021","19","100+","1"
"2021","19","20-29","132"
"2021","19","30-39","143"
"2021","19","40-49","134"
"2021","19","50-59","149"
"2021","19","60-69","57"
"2021","19","70-79","20"
"2021","19","80-89","3"
"2021","19","90-99","3"
"2021","18","0-9","41"
"2021","18","10-19","160"
"2021","18","100+","1"
"2021","18","20-29","180"
"2021","18","30-39","181"
"2021","18","40-49","199"
"2021","18","50-59","177"
"2021","18","60-69","69"
"2021","18","70-79","37"
"2021","18","80-89","12"
"2021","18","90-99","8"
"2021","17","0-9","42"
"2021","17","10-19","174"
"2021","17","20-29","195"
"2021","17","30-39","193"
"2021","17","40-49","171"
"2021","17","50-59","166"
"2021","17","60-69","95"
"2021","17","70-79","40"
"2021","17","80-89","17"
"2021","17","90-99","12"
"2021","16","0-9","39"
"2021","16","10-19","137"
"2021","16","20-29","242"
"2021","16","30-39","221"
"2021","16","40-49","197"
"2021","16","50-59","202"
"2021","16","60-69","113"
"2021","16","70-79","52"
"2021","16","80-89","17"
"2021","16","90-99","6"
"2021","15","0-9","30"
"2021","15","10-19","143"
"2021","15","20-29","235"
"2021","15","30-39","205"
"2021","15","40-49","204"
"2021","15","50-59","209"
"2021","15","60-69","109"
"2021","15","70-79","34"
"2021","15","80-89","16"
"2021","15","90-99","6"
"2021","14","0-9","52"
"2021","14","10-19","157"
"2021","14","20-29","244"
"2021","14","30-39","205"
"2021","14","40-49","211"
"2021","14","50-59","196"
"2021","14","60-69","112"
"2021","14","70-79","47"
"2021","14","80-89","15"
"2021","14","90-99","3"
"2021","13","0-9","68"
"2021","13","10-19","175"
"2021","13","100+","1"
"2021","13","20-29","188"
"2021","13","30-39","187"
"2021","13","40-49","164"
"2021","13","50-59","158"
"2021","13","60-69","86"
"2021","13","70-79","23"
"2021","13","80-89","27"
"2021","13","90-99","4"
"2021","12","0-9","44"
"2021","12","10-19","155"
"2021","12","20-29","228"
"2021","12","30-39","152"
"2021","12","40-49","170"
"2021","12","50-59","138"
"2021","12","60-69","77"
"2021","12","70-79","33"
"2021","12","80-89","19"
"2021","12","90-99","10"
"2021","11","0-9","39"
"2021","11","10-19","115"
"2021","11","20-29","138"
"2021","11","30-39","124"
"2021","11","40-49","107"
"2021","11","50-59","103"
"2021","11","60-69","69"
"2021","11","70-79","36"
"2021","11","80-89","13"
"2021","11","90-99","9"
"2021","10","0-9","34"
"2021","10","10-19","107"
"2021","10","20-29","95"
"2021","10","30-39","105"
"2021","10","40-49","91"
"2021","10","50-59","94"
"2021","10","60-69","70"
"2021","10","70-79","35"
"2021","10","80-89","12"
"2021","10","90-99","3"
"2021","9","0-9","26"
"2021","9","10-19","77"
"2021","9","100+","1"
"2021","9","20-29","93"
"2021","9","30-39","80"
"2021","9","40-49","106"
"2021","9","50-59","95"
"2021","9","60-69","64"
"2021","9","70-79","30"
"2021","9","80-89","15"
"2021","9","90-99","5"
"2021","8","0-9","25"
"2021","8","10-19","90"
"2021","8","20-29","120"
"2021","8","30-39","123"
"2021","8","40-49","72"
"2021","8","50-59","106"
"2021","8","60-69","60"
"2021","8","70-79","36"
"2021","8","80-89","17"
"2021","8","90-99","12"
"2021","7","0-9","14"
"2021","7","10-19","69"
"2021","7","20-29","113"
"2021","7","30-39","94"
"2021","7","40-49","92"
"2021","7","50-59","67"
"2021","7","60-69","55"
"2021","7","70-79","24"
"2021","7","80-89","23"
"2021","7","90-99","7"
"2021","6","0-9","33"
"2021","6","10-19","108"
"2021","6","100+","2"
"2021","6","20-29","125"
"2021","6","30-39","112"
"2021","6","40-49","95"
"2021","6","50-59","107"
"2021","6","60-69","60"
"2021","6","70-79","53"
"2021","6","80-89","42"
"2021","6","90-99","15"
"2021","5","0-9","36"
"2021","5","10-19","116"
"2021","5","20-29","136"
"2021","5","30-39","144"
"2021","5","40-49","132"
"2021","5","50-59","142"
"2021","5","60-69","85"
"2021","5","70-79","38"
"2021","5","80-89","54"
"2021","5","90-99","26"
"2021","4","0-9","32"
"2021","4","10-19","112"
"2021","4","100+","1"
"2021","4","20-29","155"
"2021","4","30-39","163"
"2021","4","40-49","166"
"2021","4","50-59","175"
"2021","4","60-69","104"
"2021","4","70-79","54"
"2021","4","80-89","68"
"2021","4","90-99","28"
"2021","3","0-9","38"
"2021","3","10-19","146"
"2021","3","20-29","220"
"2021","3","30-39","196"
"2021","3","40-49","160"
"2021","3","50-59","199"
"2021","3","60-69","115"
"2021","3","70-79","73"
"2021","3","80-89","94"
"2021","3","90-99","44"
"2021","2","0-9","20"
"2021","2","10-19","149"
"2021","2","100+","1"
"2021","2","20-29","261"
"2021","2","30-39","259"
"2021","2","40-49","240"
"2021","2","50-59","261"
"2021","2","60-69","118"
"2021","2","70-79","113"
"2021","2","80-89","101"
"2021","2","90-99","50"
"2021","1","#null","2"
"2021","1","0-9","16"
"2021","1","10-19","209"
"2021","1","100+","2"
"2021","1","20-29","452"
"2021","1","30-39","386"
"2021","1","40-49","352"
"2021","1","50-59","381"
"2021","1","60-69","212"
"2021","1","70-79","163"
"2021","1","80-89","117"
"2021","1","90-99","63"
"2020","53","0-9","20"
"2020","53","10-19","190"
"2020","53","100+","2"
"2020","53","20-29","432"
"2020","53","30-39","378"
"2020","53","40-49","376"
"2020","53","50-59","435"
"2020","53","60-69","279"
"2020","53","70-79","167"
"2020","53","80-89","152"
"2020","53","90-99","79"
"2020","52","0-9","31"
"2020","52","10-19","180"
"2020","52","100+","3"
"2020","52","20-29","412"
"2020","52","30-39","420"
"2020","52","40-49","452"
"2020","52","50-59","463"
"2020","52","60-69","300"
"2020","52","70-79","202"
"2020","52","80-89","188"
"2020","52","90-99","82"
"2020","51","#null","3"
"2020","51","0-9","37"
"2020","51","10-19","258"
"2020","51","100+","2"
"2020","51","20-29","504"
"2020","51","30-39","567"
"2020","51","40-49","451"
"2020","51","50-59","577"
"2020","51","60-69","427"
"2020","51","70-79","272"
"2020","51","80-89","247"
"2020","51","90-99","120"
"2020","50","#null","2"
"2020","50","0-9","44"
"2020","50","10-19","319"
"2020","50","100+","4"
"2020","50","20-29","528"
"2020","50","30-39","531"
"2020","50","40-49","533"
"2020","50","50-59","570"
"2020","50","60-69","379"
"2020","50","70-79","293"
"2020","50","80-89","239"
"2020","50","90-99","114"
"2020","49","#null","1"
"2020","49","0-9","15"
"2020","49","10-19","264"
"2020","49","100+","5"
"2020","49","20-29","434"
"2020","49","30-39","473"
"2020","49","40-49","420"
"2020","49","50-59","477"
"2020","49","60-69","278"
"2020","49","70-79","204"
"2020","49","80-89","187"
"2020","49","90-99","103"
"2020","48","0-9","29"
"2020","48","10-19","256"
"2020","48","100+","5"
"2020","48","20-29","460"
"2020","48","30-39","438"
"2020","48","40-49","414"
"2020","48","50-59","491"
"2020","48","60-69","273"
"2020","48","70-79","210"
"2020","48","80-89","243"
"2020","48","90-99","108"
"2020","47","#null","1"
"2020","47","0-9","28"
"2020","47","10-19","222"
"2020","47","100+","3"
"2020","47","20-29","506"
"2020","47","30-39","464"
"2020","47","40-49","459"
"2020","47","50-59","471"
"2020","47","60-69","270"
"2020","47","70-79","196"
"2020","47","80-89","155"
"2020","47","90-99","79"
"2020","46","#null","1"
"2020","46","0-9","39"
"2020","46","10-19","340"
"2020","46","100+","2"
"2020","46","20-29","635"
"2020","46","30-39","566"
"2020","46","40-49","533"
"2020","46","50-59","576"
"2020","46","60-69","294"
"2020","46","70-79","214"
"2020","46","80-89","220"
"2020","46","90-99","107"
"2020","45","#null","2"
"2020","45","0-9","52"
"2020","45","10-19","473"
"2020","45","100+","2"
"2020","45","20-29","832"
"2020","45","30-39","749"
"2020","45","40-49","753"
"2020","45","50-59","764"
"2020","45","60-69","499"
"2020","45","70-79","286"
"2020","45","80-89","216"
"2020","45","90-99","109"
"2020","44","#null","4"
"2020","44","0-9","38"
"2020","44","10-19","514"
"2020","44","100+","4"
"2020","44","20-29","873"
"2020","44","30-39","795"
