"datum","gemeinde","bfs_nummer","einwohnerzahl","7_d_inzidenz"
"25.11.2021","Rapperswil (BE)","310","2618","1069.52"
"25.11.2021","Reconvilier","703","2317","215.8"
"25.11.2021","Reichenbach im Kandertal","567","3608","1219.51"
"25.11.2021","Renan (BE)","441","928","969.83"
"25.11.2021","Reutigen","767","999","700.7"
"25.11.2021","Riggisberg","879","2554","1174.63"
"25.11.2021","Ringgenberg (BE)","590","2562","234.19"
"25.11.2021","Roggwil (BE)","337","4083","685.77"
"25.11.2021","Rohrbach","338","1480","202.7"
"25.11.2021","Rubigen","623","2929","273.13"
"25.11.2021","Röthenbach im Emmental","904","1169","1881.95"
"25.11.2021","Rüderswil","905","2385","1719.08"
"25.11.2021","Rüdtligen-Alchenflüh","420","2418","372.21"
"25.11.2021","Rüeggisberg","880","1791","1619.21"
"25.11.2021","Rüegsau","956","3260","398.77"
"25.11.2021","Rüschegg","853","1662","601.68"
"25.11.2021","Rüti bei Büren","393","859","582.07"
"25.11.2021","Rütschelen","340","557","1436.27"
"25.11.2021","Saanen","843","6818","865.36"
"25.11.2021","Safnern","746","1928","311.2"
"25.11.2021","Saicourt","706","628","0"
"25.11.2021","Saint-Imier","443","5131","272.85"
"25.11.2021","Sauge","449","815","368.1"
"25.11.2021","Schangnau","906","908","330.4"
"25.11.2021","Schattenhalb","786","552","362.32"
"25.11.2021","Schwadernau","748","662","151.06"
"25.11.2021","Schwanden bei Brienz","592","617","162.07"
"25.11.2021","Schwarzenburg","855","6831","541.65"
"25.11.2021","Schwarzhäusern","341","522","191.57"
"25.11.2021","Schüpfen","311","3734","241.03"
"25.11.2021","Seeberg","988","1560","256.41"
"25.11.2021","Seedorf (BE)","312","3116","513.48"
"25.11.2021","Seftigen","883","2144","652.99"
"25.11.2021","Signau","907","2660","751.88"
"25.11.2021","Sigriswil","938","4833","1572.52"
"25.11.2021","Siselen","499","595","336.13"
"25.11.2021","Sonceboz-Sombeval","444","1968","558.94"
"25.11.2021","Sonvilier","445","1237","565.89"
"25.11.2021","Spiez","768","12812","601"
"25.11.2021","St. Stephan","793","1339","672.14"
"25.11.2021","Steffisburg","939","15959","971.24"
"25.11.2021","Stettlen","358","3116","385.11"
"25.11.2021","Stocken-Höfen","770","1016","295.28"
"25.11.2021","Studen (BE)","749","3326","300.66"
"25.11.2021","Sumiswald","957","5045","495.54"
"25.11.2021","Sutz-Lattrigen","750","1395","573.48"
"25.11.2021","Tavannes","713","3586","83.66"
"25.11.2021","Thierachern","941","2428","906.1"
"25.11.2021","Thun","942","43734","663.1"
"25.11.2021","Thunstetten","342","3397","382.69"
"25.11.2021","Thurnen","889","1922","884.5"
"25.11.2021","Thörigen","989","1155","173.16"
"25.11.2021","Toffen","884","2515","994.04"
"25.11.2021","Trachselwald","958","960","833.33"
"25.11.2021","Tramelan","446","4568","415.94"
"25.11.2021","Trub","908","1326","754.15"
"25.11.2021","Trubschachen","909","1450","275.86"
"25.11.2021","Twann-Tüscherz","756","1160","0"
"25.11.2021","Täuffelen","751","2872","208.91"
"25.11.2021","Uebeschi","943","673","1931.65"
"25.11.2021","Uetendorf","944","5893","763.62"
"25.11.2021","Unterlangenegg","945","998","1102.2"
"25.11.2021","Unterseen","593","5751","608.59"
"25.11.2021","Ursenbach","344","896","1004.46"
"25.11.2021","Urtenen-Schönbühl","551","6271","813.27"
"25.11.2021","Uttigen","885","2103","1093.68"
"25.11.2021","Utzenstorf","552","4333","300.02"
"25.11.2021","Valbirse","717","3975","201.26"
"25.11.2021","Vechigen","359","5298","396.38"
"25.11.2021","Villeret","448","925","324.32"
"25.11.2021","Vinelz","502","867","576.7"
"25.11.2021","Wald (BE)","888","1177","679.69"
"25.11.2021","Walkringen","626","1767","735.71"
"25.11.2021","Walliswil bei Wangen","991","608","1315.79"
"25.11.2021","Walperswil","754","1043","287.63"
"25.11.2021","Walterswil (BE)","959","538","929.37"
"25.11.2021","Wangen an der Aare","992","2312","735.29"
"25.11.2021","Wattenwil","886","2936","1703"
"25.11.2021","Wengi","394","613","1141.92"
"25.11.2021","Wichtrach","632","4293","1397.62"
"25.11.2021","Wiedlisbach","995","2377","126.21"
"25.11.2021","Wilderswil","594","2658","263.36"
"25.11.2021","Wiler bei Utzenstorf","554","963","207.68"
"25.11.2021","Wimmis","769","2537","867.17"
"25.11.2021","Wohlen bei Bern","360","9282","280.11"
"25.11.2021","Worb","627","11316","265.11"
"25.11.2021","Worben","755","2287","306.08"
"25.11.2021","Wynau","345","1628","614.25"
"25.11.2021","Wynigen","424","2060","145.63"
"25.11.2021","Wyssachen","960","1138","263.62"
"25.11.2021","Zollikofen","361","10306","572.48"
"25.11.2021","Zuzwil (BE)","557","578","0"
"25.11.2021","Zweisimmen","794","3018","331.35"
"25.11.2021","Zäziwil","628","1595","1316.61"
